"Site","SamplingUnits","Species","Incidence"
"h50m",599,"Species_192",1
"h50m",599,"Species_193",1
"h50m",599,"Species_194",1
"h50m",599,"Species_195",1
"h50m",599,"Species_196",1
"h50m",599,"Species_197",1
"h50m",599,"Species_198",1
"h50m",599,"Species_199",1
"h50m",599,"Species_200",1
"h50m",599,"Species_201",1
"h50m",599,"Species_202",1
"h50m",599,"Species_203",1
"h50m",599,"Species_204",1
"h50m",599,"Species_205",1
"h50m",599,"Species_206",1
"h50m",599,"Species_207",1
"h50m",599,"Species_208",1
"h50m",599,"Species_209",1
"h50m",599,"Species_210",1
"h50m",599,"Species_211",1
"h50m",599,"Species_212",1
"h50m",599,"Species_213",1
"h50m",599,"Species_214",1
"h50m",599,"Species_215",1
"h50m",599,"Species_216",1
"h50m",599,"Species_217",1
"h50m",599,"Species_218",1
"h50m",599,"Species_219",1
"h50m",599,"Species_220",1
"h50m",599,"Species_221",1
"h50m",599,"Species_222",1
"h50m",599,"Species_223",1
"h50m",599,"Species_224",1
"h50m",599,"Species_225",1
"h50m",599,"Species_226",1
"h50m",599,"Species_227",1
"h500m",230,"Species_1",133
"h500m",230,"Species_2",131
"h500m",230,"Species_3",123
"h500m",230,"Species_4",78
"h500m",230,"Species_5",73
"h500m",230,"Species_6",65
"h500m",230,"Species_7",60
"h500m",230,"Species_8",60
"h500m",230,"Species_9",56
"h500m",230,"Species_10",54
"h500m",230,"Species_11",53
"h500m",230,"Species_12",52
"h500m",230,"Species_13",52
"h500m",230,"Species_14",49
"h500m",230,"Species_15",47
"h500m",230,"Species_16",46
"h500m",230,"Species_17",45
"h500m",230,"Species_18",44
"h500m",230,"Species_19",43
"h500m",230,"Species_20",42
"h500m",230,"Species_21",41
"h500m",230,"Species_22",39
"h500m",230,"Species_23",39
"h500m",230,"Species_24",38
"h500m",230,"Species_25",38
"h500m",230,"Species_26",38
"h500m",230,"Species_27",38
"h500m",230,"Species_28",37
"h500m",230,"Species_29",36
"h500m",230,"Species_30",34
"h500m",230,"Species_31",33
"h500m",230,"Species_32",32
"h500m",230,"Species_33",32
"h500m",230,"Species_34",31
"h500m",230,"Species_35",31
"h500m",230,"Species_36",30
"h500m",230,"Species_37",27
"h500m",230,"Species_38",26
"h500m",230,"Species_39",25
"h500m",230,"Species_40",25
"h500m",230,"Species_41",25
"h500m",230,"Species_42",24
"h500m",230,"Species_43",23
"h500m",230,"Species_44",21
"h500m",230,"Species_45",21
"h500m",230,"Species_46",20
"h500m",230,"Species_47",19
"h500m",230,"Species_48",18
"h500m",230,"Species_49",17
"h500m",230,"Species_50",17
"h500m",230,"Species_51",17
"h500m",230,"Species_52",17
"h500m",230,"Species_53",16
"h500m",230,"Species_54",16
"h500m",230,"Species_55",15
"h500m",230,"Species_56",14
"h500m",230,"Species_57",14
"h500m",230,"Species_58",13
"h500m",230,"Species_59",13
"h500m",230,"Species_60",13
"h500m",230,"Species_61",13
"h500m",230,"Species_62",12
"h500m",230,"Species_63",12
"h500m",230,"Species_64",12
"h500m",230,"Species_65",11
"h500m",230,"Species_66",11
"h500m",230,"Species_67",10
"h500m",230,"Species_68",10
"h500m",230,"Species_69",10
"h500m",230,"Species_70",10
"h500m",230,"Species_71",10
"h500m",230,"Species_72",9
"h500m",230,"Species_73",9
"h500m",230,"Species_74",9
"h500m",230,"Species_75",9
"h500m",230,"Species_76",9
"h500m",230,"Species_77",9
"h500m",230,"Species_78",9
"h500m",230,"Species_79",8
"h500m",230,"Species_80",8
"h500m",230,"Species_81",8
"h500m",230,"Species_82",8
"h500m",230,"Species_83",7
"h500m",230,"Species_84",7
"h500m",230,"Species_85",7
"h500m",230,"Species_86",7
"h500m",230,"Species_87",7
"h500m",230,"Species_88",7
"h500m",230,"Species_89",7
"h500m",230,"Species_90",7
"h500m",230,"Species_91",6
"h500m",230,"Species_92",6
"h500m",230,"Species_93",6
"h500m",230,"Species_94",6
"h500m",230,"Species_95",6
"h500m",230,"Species_96",6
"h500m",230,"Species_97",6
"h500m",230,"Species_98",6
"h500m",230,"Species_99",6
"h500m",230,"Species_100",6
"h500m",230,"Species_101",6
"h500m",230,"Species_102",5
"h500m",230,"Species_103",5
"h500m",230,"Species_104",5
"h500m",230,"Species_105",5
"h500m",230,"Species_106",5
"h500m",230,"Species_107",5
"h500m",230,"Species_108",5
"h500m",230,"Species_109",5
"h500m",230,"Species_110",5
"h500m",230,"Species_111",4
"h500m",230,"Species_112",4
"h500m",230,"Species_113",4
"h500m",230,"Species_114",4
"h500m",230,"Species_115",4
"h500m",230,"Species_116",4
"h500m",230,"Species_117",4
"h500m",230,"Species_118",4
"h500m",230,"Species_119",4
"h500m",230,"Species_120",4
"h500m",230,"Species_121",4
"h500m",230,"Species_122",4
"h500m",230,"Species_123",4
"h500m",230,"Species_124",4
"h500m",230,"Species_125",3
"h500m",230,"Species_126",3
"h500m",230,"Species_127",3
"h500m",230,"Species_128",3
"h500m",230,"Species_129",3
"h500m",230,"Species_130",3
"h500m",230,"Species_131",3
"h500m",230,"Species_132",3
"h500m",230,"Species_133",3
"h500m",230,"Species_134",3
"h500m",230,"Species_135",3
"h500m",230,"Species_136",3
"h500m",230,"Species_137",2
"h500m",230,"Species_138",2
"h500m",230,"Species_139",2
"h500m",230,"Species_140",2
"h500m",230,"Species_141",2
"h500m",230,"Species_142",2
"h500m",230,"Species_143",2
"h500m",230,"Species_144",2
"h500m",230,"Species_145",2
"h500m",230,"Species_146",2
"h500m",230,"Species_147",2
"h500m",230,"Species_148",2
"h500m",230,"Species_149",2
"h500m",230,"Species_150",2
"h500m",230,"Species_151",2
"h500m",230,"Species_152",2
"h500m",230,"Species_153",2
"h500m",230,"Species_154",2
"h500m",230,"Species_155",2
"h500m",230,"Species_156",2
"h500m",230,"Species_157",2
"h500m",230,"Species_158",2
"h500m",230,"Species_159",2
"h500m",230,"Species_160",2
"h500m",230,"Species_161",2
"h500m",230,"Species_162",2
"h500m",230,"Species_163",2
"h500m",230,"Species_164",2
"h500m",230,"Species_165",2
"h500m",230,"Species_166",2
"h500m",230,"Species_167",2
"h500m",230,"Species_168",2
"h500m",230,"Species_169",2
"h500m",230,"Species_170",2
"h500m",230,"Species_171",1
"h500m",230,"Species_172",1
"h500m",230,"Species_173",1
"h500m",230,"Species_174",1
"h500m",230,"Species_175",1
"h500m",230,"Species_176",1
"h500m",230,"Species_177",1
"h500m",230,"Species_178",1
"h500m",230,"Species_179",1
"h500m",230,"Species_180",1
"h500m",230,"Species_181",1
"h500m",230,"Species_182",1
"h500m",230,"Species_183",1
"h500m",230,"Species_184",1
"h500m",230,"Species_185",1
"h500m",230,"Species_186",1
"h500m",230,"Species_187",1
"h500m",230,"Species_188",1
"h500m",230,"Species_189",1
"h500m",230,"Species_190",1
"h500m",230,"Species_191",1
"h500m",230,"Species_192",1
"h500m",230,"Species_193",1
"h500m",230,"Species_194",1
"h500m",230,"Species_195",1
"h500m",230,"Species_196",1
"h500m",230,"Species_197",1
"h500m",230,"Species_198",1
"h500m",230,"Species_199",1
"h500m",230,"Species_200",1
"h500m",230,"Species_201",1
"h500m",230,"Species_202",1
"h500m",230,"Species_203",1
"h500m",230,"Species_204",1
"h500m",230,"Species_205",1
"h500m",230,"Species_206",1
"h500m",230,"Species_207",1
"h500m",230,"Species_208",1
"h500m",230,"Species_209",1
"h500m",230,"Species_210",1
"h500m",230,"Species_211",1
"h500m",230,"Species_212",1
"h500m",230,"Species_213",1
"h500m",230,"Species_214",1
"h500m",230,"Species_215",1
"h500m",230,"Species_216",1
"h500m",230,"Species_217",1
"h500m",230,"Species_218",1
"h500m",230,"Species_219",1
"h500m",230,"Species_220",1
"h500m",230,"Species_221",1
"h500m",230,"Species_222",1
"h500m",230,"Species_223",1
"h500m",230,"Species_224",1
"h500m",230,"Species_225",1
"h500m",230,"Species_226",1
"h500m",230,"Species_227",1
"h500m",230,"Species_228",1
"h500m",230,"Species_229",1
"h500m",230,"Species_230",1
"h500m",230,"Species_231",1
"h500m",230,"Species_232",1
"h500m",230,"Species_233",1
"h500m",230,"Species_234",1
"h500m",230,"Species_235",1
"h500m",230,"Species_236",1
"h500m",230,"Species_237",1
"h500m",230,"Species_238",1
"h500m",230,"Species_239",1
"h500m",230,"Species_240",1
"h500m",230,"Species_241",1
"h1070m",150,"Species_1",99
"h1070m",150,"Species_2",96
"h1070m",150,"Species_3",80
"h1070m",150,"Species_4",74
"h1070m",150,"Species_5",68
"h1070m",150,"Species_6",60
"h1070m",150,"Species_7",54
"h1070m",150,"Species_8",46
"h1070m",150,"Species_9",45
"h1070m",150,"Species_10",45
"h1070m",150,"Species_11",43
"h1070m",150,"Species_12",43
"h1070m",150,"Species_13",39
"h1070m",150,"Species_14",38
"h1070m",150,"Species_15",36
"h1070m",150,"Species_16",34
"h1070m",150,"Species_17",32
"h1070m",150,"Species_18",31
"h1070m",150,"Species_19",31
"h1070m",150,"Species_20",31
"h1070m",150,"Species_21",30
"h1070m",150,"Species_22",26
"h1070m",150,"Species_23",25
"h1070m",150,"Species_24",25
"h1070m",150,"Species_25",25
"h1070m",150,"Species_26",24
"h1070m",150,"Species_27",23
"h1070m",150,"Species_28",22
"h1070m",150,"Species_29",21
"h1070m",150,"Species_30",19
"h1070m",150,"Species_31",19
"h1070m",150,"Species_32",18
"h1070m",150,"Species_33",16
"h1070m",150,"Species_34",16
"h1070m",150,"Species_35",16
"h1070m",150,"Species_36",16
"h1070m",150,"Species_37",15
"h1070m",150,"Species_38",14
"h1070m",150,"Species_39",13
"h1070m",150,"Species_40",13
"h1070m",150,"Species_41",13
"h1070m",150,"Species_42",13
"h1070m",150,"Species_43",12
"h1070m",150,"Species_44",12
"h1070m",150,"Species_45",12
"h1070m",150,"Species_46",11
"h1070m",150,"Species_47",11
"h1070m",150,"Species_48",11
"h1070m",150,"Species_49",11
"h1070m",150,"Species_50",10
"h1070m",150,"Species_51",9
"h1070m",150,"Species_52",8
"h1070m",150,"Species_53",7
"h1070m",150,"Species_54",7
"h1070m",150,"Species_55",7
"h1070m",150,"Species_56",7
"h1070m",150,"Species_57",7
"h1070m",150,"Species_58",7
"h1070m",150,"Species_59",6
"h1070m",150,"Species_60",6
"h1070m",150,"Species_61",6
"h1070m",150,"Species_62",5
"h1070m",150,"Species_63",4
"h1070m",150,"Species_64",4
"h1070m",150,"Species_65",4
"h1070m",150,"Species_66",3
"h1070m",150,"Species_67",3
"h1070m",150,"Species_68",3
"h1070m",150,"Species_69",3
"h1070m",150,"Species_70",3
"h1070m",150,"Species_71",3
"h1070m",150,"Species_72",3
"h1070m",150,"Species_73",3
"h1070m",150,"Species_74",3
"h1070m",150,"Species_75",3
"h1070m",150,"Species_76",3
"h1070m",150,"Species_77",3
"h1070m",150,"Species_78",3
"h1070m",150,"Species_79",2
"h1070m",150,"Species_80",2
"h1070m",150,"Species_81",2
"h1070m",150,"Species_82",2
"h1070m",150,"Species_83",2
"h1070m",150,"Species_84",2
"h1070m",150,"Species_85",2
"h1070m",150,"Species_86",2
"h1070m",150,"Species_87",2
"h1070m",150,"Species_88",2
"h1070m",150,"Species_89",2
"h1070m",150,"Species_90",2
"h1070m",150,"Species_91",2
"h1070m",150,"Species_92",2
"h1070m",150,"Species_93",2
"h1070m",150,"Species_94",2
"h1070m",150,"Species_95",1
"h1070m",150,"Species_96",1
"h1070m",150,"Species_97",1
"h1070m",150,"Species_98",1
"h1070m",150,"Species_99",1
"h1070m",150,"Species_100",1
"h1070m",150,"Species_101",1
"h1070m",150,"Species_102",1
"h1070m",150,"Species_103",1
"h1070m",150,"Species_104",1
"h1070m",150,"Species_105",1
"h1070m",150,"Species_106",1
"h1070m",150,"Species_107",1
"h1070m",150,"Species_108",1
"h1070m",150,"Species_109",1
"h1070m",150,"Species_110",1
"h1070m",150,"Species_111",1
"h1070m",150,"Species_112",1
"h1070m",150,"Species_113",1
"h1070m",150,"Species_114",1
"h1070m",150,"Species_115",1
"h1070m",150,"Species_116",1
"h1070m",150,"Species_117",1
"h1070m",150,"Species_118",1
"h1070m",150,"Species_119",1
"h1070m",150,"Species_120",1
"h1070m",150,"Species_121",1
"h1070m",150,"Species_122",1
"h1500m",200,"Species_1",144
"h1500m",200,"Species_2",113
"h1500m",200,"Species_3",79
"h1500m",200,"Species_4",76
"h1500m",200,"Species_5",74
"h1500m",200,"Species_6",73
"h1500m",200,"Species_7",53
"h1500m",200,"Species_8",50
"h1500m",200,"Species_9",43
"h1500m",200,"Species_10",33
"h1500m",200,"Species_11",32
"h1500m",200,"Species_12",30
"h1500m",200,"Species_13",29
"h1500m",200,"Species_14",25
"h1500m",200,"Species_15",25
"h1500m",200,"Species_16",25
"h1500m",200,"Species_17",24
"h1500m",200,"Species_18",23
"h1500m",200,"Species_19",23
"h1500m",200,"Species_20",19
"h1500m",200,"Species_21",18
"h1500m",200,"Species_22",17
"h1500m",200,"Species_23",17
"h1500m",200,"Species_24",11
"h1500m",200,"Species_25",11
"h1500m",200,"Species_26",9
"h1500m",200,"Species_27",9
"h1500m",200,"Species_28",9
"h1500m",200,"Species_29",9
"h1500m",200,"Species_30",6
"h1500m",200,"Species_31",6
"h1500m",200,"Species_32",5
"h1500m",200,"Species_33",5
"h1500m",200,"Species_34",5
"h1500m",200,"Species_35",5
"h1500m",200,"Species_36",4
"h1500m",200,"Species_37",4
"h1500m",200,"Species_38",3
"h1500m",200,"Species_39",3
"h1500m",200,"Species_40",2
"h1500m",200,"Species_41",2
"h1500m",200,"Species_42",2
"h1500m",200,"Species_43",2
"h1500m",200,"Species_44",1
"h1500m",200,"Species_45",1
"h1500m",200,"Species_46",1
"h1500m",200,"Species_47",1
"h1500m",200,"Species_48",1
"h1500m",200,"Species_49",1
"h1500m",200,"Species_50",1
"h1500m",200,"Species_51",1
"h1500m",200,"Species_52",1
"h1500m",200,"Species_53",1
"h1500m",200,"Species_54",1
"h1500m",200,"Species_55",1
"h1500m",200,"Species_56",1
"h2000m",200,"Species_1",80
"h2000m",200,"Species_2",59
"h2000m",200,"Species_3",34
"h2000m",200,"Species_4",23
"h2000m",200,"Species_5",19
"h2000m",200,"Species_6",15
"h2000m",200,"Species_7",13
"h2000m",200,"Species_8",8
"h2000m",200,"Species_9",8
"h2000m",200,"Species_10",4
"h2000m",200,"Species_11",3
"h2000m",200,"Species_12",2
"h2000m",200,"Species_13",2
"h2000m",200,"Species_14",1
