"Species","SamplingUnits.h50m","Incidence.h50m","SamplingUnits.h500m","Incidence.h500m","SamplingUnits.h1070m","Incidence.h1070m","SamplingUnits.h1500m","Incidence.h1500m","SamplingUnits.h2000m","Incidence.h2000m"
"Species_89",599,9,230,7,150,2,NA,NA,NA,NA
"Species_90",599,9,230,7,150,2,NA,NA,NA,NA
"Species_91",599,9,230,6,150,2,NA,NA,NA,NA
"Species_92",599,9,230,6,150,2,NA,NA,NA,NA
"Species_93",599,8,230,6,150,2,NA,NA,NA,NA
"Species_94",599,8,230,6,150,2,NA,NA,NA,NA
"Species_95",599,8,230,6,150,1,NA,NA,NA,NA
"Species_96",599,8,230,6,150,1,NA,NA,NA,NA
"Species_97",599,8,230,6,150,1,NA,NA,NA,NA
"Species_98",599,8,230,6,150,1,NA,NA,NA,NA
"Species_99",599,8,230,6,150,1,NA,NA,NA,NA
"Species_100",599,8,230,6,150,1,NA,NA,NA,NA
"Species_101",599,7,230,6,150,1,NA,NA,NA,NA
"Species_102",599,7,230,5,150,1,NA,NA,NA,NA
"Species_103",599,7,230,5,150,1,NA,NA,NA,NA
"Species_104",599,7,230,5,150,1,NA,NA,NA,NA
"Species_105",599,6,230,5,150,1,NA,NA,NA,NA
"Species_106",599,6,230,5,150,1,NA,NA,NA,NA
"Species_107",599,6,230,5,150,1,NA,NA,NA,NA
"Species_108",599,6,230,5,150,1,NA,NA,NA,NA
"Species_109",599,6,230,5,150,1,NA,NA,NA,NA
"Species_110",599,6,230,5,150,1,NA,NA,NA,NA
"Species_111",599,6,230,4,150,1,NA,NA,NA,NA
"Species_112",599,6,230,4,150,1,NA,NA,NA,NA
"Species_113",599,6,230,4,150,1,NA,NA,NA,NA
"Species_114",599,6,230,4,150,1,NA,NA,NA,NA
"Species_115",599,5,230,4,150,1,NA,NA,NA,NA
"Species_116",599,5,230,4,150,1,NA,NA,NA,NA
"Species_117",599,5,230,4,150,1,NA,NA,NA,NA
"Species_118",599,5,230,4,150,1,NA,NA,NA,NA
"Species_119",599,5,230,4,150,1,NA,NA,NA,NA
"Species_120",599,5,230,4,150,1,NA,NA,NA,NA
"Species_121",599,5,230,4,150,1,NA,NA,NA,NA
"Species_122",599,5,230,4,150,1,NA,NA,NA,NA
"Species_123",599,5,230,4,NA,NA,NA,NA,NA,NA
"Species_124",599,4,230,4,NA,NA,NA,NA,NA,NA
"Species_125",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_126",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_127",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_128",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_129",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_130",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_131",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_132",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_133",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_134",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_135",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_136",599,4,230,3,NA,NA,NA,NA,NA,NA
"Species_137",599,4,230,2,NA,NA,NA,NA,NA,NA
"Species_138",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_139",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_140",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_141",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_142",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_143",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_144",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_145",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_146",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_147",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_148",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_149",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_150",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_151",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_152",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_153",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_154",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_155",599,3,230,2,NA,NA,NA,NA,NA,NA
"Species_156",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_157",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_158",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_159",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_160",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_161",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_162",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_163",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_164",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_165",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_166",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_167",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_168",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_169",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_170",599,2,230,2,NA,NA,NA,NA,NA,NA
"Species_171",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_172",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_173",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_174",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_175",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_176",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_177",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_178",599,2,230,1,NA,NA,NA,NA,NA,NA
"Species_179",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_180",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_181",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_182",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_183",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_184",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_185",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_186",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_187",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_188",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_189",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_190",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_191",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_192",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_193",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_194",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_195",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_196",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_197",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_198",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_199",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_200",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_201",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_202",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_203",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_204",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_205",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_206",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_207",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_208",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_209",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_210",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_211",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_212",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_213",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_214",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_215",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_216",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_217",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_218",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_219",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_220",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_221",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_222",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_223",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_224",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_225",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_226",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_227",599,1,230,1,NA,NA,NA,NA,NA,NA
"Species_228",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_229",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_230",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_231",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_232",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_233",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_234",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_235",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_236",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_237",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_238",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_239",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_240",NA,NA,230,1,NA,NA,NA,NA,NA,NA
"Species_241",NA,NA,230,1,NA,NA,NA,NA,NA,NA
